key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1115027523,The effect of digital technologies adoption in healthcare industry: a case based analysis,2018,,,Business Process Management Journal,1463-7154,24,5,1124-1144,"Laurenza, Elena and Quintano, Michele and Schiavone, Francesco and Vrontis, Demetris",https://doi.org/10.1108/BPMJ-04-2017-0084,,Emerald Publishing Limited,,"Purpose The purpose of this paper is to contribute to the extant literature regarding the exploitation of digital technologies by illustrating how this type of IT can influence business process improvements in the healthcare industry. Design/methodology/approach The paper reports an illustrative case study for MSD Italy, the Italian subsidiary of the USA-based company Merck & Co., Inc. The group sells drugs for human use in Italy but is also active in the veterinary (MSD Animal Health) industry, with Vree Health, and in solutions and software-based services for the healthcare industry. Findings The results show that the adoption of digital technologies could improve the performance of main healthcare business processes, particularly those processes that can be simplified with the adoption of information technology. More specifically, digital technologies could increase efficiency and, at the same time, allow for the delivery of better quality and reduced response times, with many benefits for several stakeholders, such as national health systems, clinicians and patients. Originality/value Although some studies report the need for effective business processes for sustainable healthcare systems, there is a lack of literature regarding the specific implications of the adoption of such digital technologies for the business process management of healthcare firms. This paper attempts to fill in this gap.",RAYYAN-LABELS: High Focus,10.1108/BPMJ-04-2017-0084,"",,
rayyan-1115027524,Caregivers and Computers: Key Lessons From the Adoption and Implementation of EMR in New York State Nursing Homes,2012,,,Advances in Industrial and Labor Relations,"978-1-78190-378-0, 978-1-78190-377-3",20,,75-104,"Lipsky, David B. and Avgar, Ariel C.",https://doi.org/10.1108/S0742-6186(2012)0000020006,,Emerald Group Publishing Limited,,"This chapter presents an overview of our evaluation of the introduction of electronic medical records (EMR) in 20 nursing homes located in the New York City region. These organizations were part of an EMR demonstration project cosponsored by the for-profit segment of the nursing home industry in the region and 1199SEIU United Health Care Workers East, the union that represented frontline staff in these organizations. We report central lessons from our evaluation, which took place over the course of four years and included multiple data sources. The primary purpose of our research was to examine the effects of EMR adoption on employment and labor relations in the participating organizations. Findings are based on a longitudinal study of EMR adoption in 15 of the 20 organizations that received the EMR technology and five “control” organizations, which did not receive the technology, employing a mixed methodological design with both quantitative and qualitative data collection methods. Results from our research inform the existing EMR adoption discussion in two ways. First, we find mixed evidence associated with EMR implementation. The adoption of this new technology enhances certain organizational outcomes, but it seems to hinder others. Second, findings from our research highlight the importance of preexisting organizational factors as predictors of EMR-associated outcomes. EMR-associated outcomes, positive or negative, are likely to be contingent on key organizational characteristics and on managerial adoption strategies. Our study's findings imply that the meaningful use of EMR needs to take into account not only the technical specifications of EMR but also the organizational characteristics of the physician practices and healthcare facilities adopting the technology. Healthcare organizations vary in their capacity and ability to make optimal use of health information technology, which should be incorporated into public policy and organizational practices designed to increase adoption.",RAYYAN-LABELS: High Focus,10.1108/S0742-6186(2012)0000020006,"",,
rayyan-1115027526,An empirical study of wearable technology acceptance in healthcare,2015,,,Industrial Management & Data Systems,0263-5577,115,9,1704-1723,"Gao, Yiwen and Li, He and Luo, Yan",https://doi.org/10.1108/IMDS-03-2015-0087,,Emerald Group Publishing Limited,,"Purpose  – The purpose of this paper is to investigate the factors associated with consumer’s intention to adopt wearable technology in healthcare, and to examine the moderating effects of product type on consumer’s adoption intention.  Design/methodology/approach  – An integrated acceptance model was developed based on unified theory of acceptance and use of technology 2 (UTAUT2), protection motivation theory (PMT), and privacy calculus theory. The model was tested with 462 respondents using a survey.  Findings  – Consumer’s decision to adopt healthcare wearable technology is affected by factors from technology, health, and privacy perspectives. Specially, fitness device users care more about hedonic motivation, functional congruence, social influence, perceived privacy risk, and perceived vulnerability, but medical device users pay more attention to perceived expectancy, self-efficacy, effort expectancy, and perceived severity.  Originality/value  – This study is among the first to investigate healthcare wearable device from behavioral perspective. It also helps to comprehensively understand emerging health information technology (HIT) acceptance from technology, health, and privacy perspectives.",RAYYAN-LABELS: Some Focus,10.1108/IMDS-03-2015-0087,"",,
rayyan-1115027527,Implementing and adopting electronic health record systems,2011,,,Clinical Governance: An International Journal,1477-7274,16,4,320-336,"Cresswell, Kathrin and Worth, Allison and Sheikh, Aziz",https://doi.org/10.1108/14777271111175369,,Emerald Group Publishing Limited,,"Purpose This paper aims to outline an approach to study the implementation and adoption of information technology systems in healthcare. Design/methodology/approach The authors use the introduction of electronic health records, part of the English National Programme of Information Technology, as an example to illustrate how theoretical lenses need to be effectively integrated with practical considerations in order to help researchers to overcome the theory‐practice gap in relation to research in this area. Findings Integrating actor‐network theory (ANT) with other theoretical lenses can usefully inform the design of evaluation of the implementation of electronic health record systems into healthcare settings, but it is necessary that such deliberations are informed by guidance on how to use conceptual considerations in practice. Originality/value The paper outlines how combining a case study‐based approach informed by multi‐sited ethnography and drawing on ANT offers a method for a theoretically‐based approach to such evaluations.",RAYYAN-LABELS: Some Focus,10.1108/14777271111175369,"",,
rayyan-1115027528,The individual in multiple interacting activity systems: IT-supported diabetes management,2014,,,Information Technology & People,0959-3845,27,4,463-481,"Waycott, Jenny and Scheepers, Rens and Davis, Hilary and Howard, Steve and Sonenberg, Liz",https://doi.org/10.1108/ITP-11-2013-0195,,Emerald Group Publishing Limited,,"Purpose  – The purpose of this paper is to examine how pregnant women with type 1 diabetes integrate new information technology (IT) into their health management activities, using activity theory as an analytical framework.  Design/methodology/approach  – The research is a multiple case design, based on interviews with 15 women with type 1 diabetes who were pregnant, considering pregnancy, or had recently given birth. A thematic analysis, sensitised by activity theory, was used to analyse the data.  Findings  – Health management in this setting involves negotiations and contradictions across boundaries of interacting activities. Participants play an active role in managing their health and using new IT tools in particular ways to support their health management. Using new technologies creates both opportunities and challenges. IT-enabled healthcare devices and other information systems open up new treatment possibilities, but also generate new contradictions between interacting activity systems.  Research limitations/implications  – The research was conducted with a small sample in a specific context of health management. Further research is needed to extend the findings to other contexts.  Practical implications  – Healthcare providers need to accommodate a bottom-up approach to the adoption and use of new technologies in settings where empowered patients play an active role in managing their health.  Originality/value  – The findings highlight opportunities to further develop activity theory to accommodate the central role that individuals play in resolving inherent contradictions and achieving alignment between multiple interacting activity systems when incorporating new IT tools into health management activities.",RAYYAN-LABELS: High Focus,10.1108/ITP-11-2013-0195,"",,
rayyan-1115027529,Knowledge capture within the biopharmaceutical clinical trials environment,2008,,,VINE,0305-5728,38,1,118-132,"Grossman, Martin and Bates, Stephen",https://doi.org/10.1108/03055720810870932,,Emerald Group Publishing Limited,,"Purpose The purpose of this paper is to provide an overview of knowledge capture in the biopharmaceutical industry, focusing primarily on the transition from paper‐based to electronic data capture (EDC) systems. Design/methodology/approach The paper draws on biopharmaceutical industry literature and data from example clinical studies to describe the issues involved in transitioning to EDC in the clinical trials environment. Findings While electronic data capture systems provide greater efficiencies along the clinical trial supply chain, the industry is still far from achieving wide scale utilization of such technologies. The barriers to successful implementation are multifaceted, involving not only the information technology itself, but also user acceptance issues, lack of interoperability standards, and regulatory compliance. Major shifts in organizational culture and a unified effort within the industry will be necessary in order to derive full benefits from electronic capture systems in the future. Research limitations/implications This study was limited in that case data from only one company was used to supplement the literature review. Further research is warranted to better understand the factors that facilitate adoption of electronic knowledge capture systems in the biopharmaceutical industry. Originality/value While the need for knowledge management in the healthcare industry is indisputable, there has been remarkably slow progress in this area, and a dearth of research exploring implementation issues. The value of this type of inquiry is profound as it will help us better understand the issues in implementation and adoption, and ultimately to deliver more effective and safe drugs to the public in a more efficient manner.",RAYYAN-LABELS: High Focus,10.1108/03055720810870932,"",,
rayyan-1115027531,Distance is no longer a barrier to healthcare services: current state and future trends of telehealth research,2023,,,Internet Research,1066-2243,33,3,890-944,"Sahoo, Saumyaranjan and Sahoo, Junali and Kumar, Satish and Lim, Weng Marc and Ameen, Nisreen",https://doi.org/10.1108/INTR-10-2021-0774,,Emerald Publishing Limited,,"Purpose Taking a business lens of telehealth, this article aims to review and provide a state-of-the-art overview of telehealth research. Design/methodology/approach This research conducts a systematic literature review using the scientific procedures and rationales for systematic literature reviews (SPAR-4-SLR) protocol and a collection of bibliometric analytical techniques (i.e. performance analysis, keyword co-occurrence, keyword clustering and content analysis). Findings Using performance analysis, this article unpacks the publication trend and the top contributing journals, authors, institutions and regions of telehealth research. Using keyword co-occurrence and keyword clustering, this article reveals 10 major themes underpinning the intellectual structure of telehealth research: design and development of personal health record systems, health information technology (HIT) for public health management, perceived service quality among mobile health (m-health) users, paradoxes of virtual care versus in-person visits, Internet of things (IoT) in healthcare, guidelines for e-health practices and services, telemonitoring of life-threatening diseases, change management strategy for telehealth adoption, knowledge management of innovations in telehealth and technology management of telemedicine services. The article proposes directions for future research that can enrich our understanding of telehealth services. Originality/value This article offers a seminal state-of-the-art overview of the performance and intellectual structure of telehealth research from a business perspective.",RAYYAN-LABELS: High Focus,10.1108/INTR-10-2021-0774,"",,
rayyan-1115027532,Change management and adoption of health information technology (HIT)/eHealth in public hospitals in Ghana: A qualitative study,2022,,,Applied Computing and Informatics,"2634-1964, 2210-8327",18,3,279-289,"Yusif, Salifu and Hafeez-Baig, Abdul and Soar, Jeffrey",https://doi.org/10.1016/j.aci.2019.11.007,,Emerald Publishing Limited,,"In Ghana, as with other developing countries, there are several health information technology (HIT) initiatives as interventions to improve healthcare delivery. HIT implementation undoubtedly results in change. However, most studies relating to HIT implementation readiness have constantly neglected the role of change in successfully implementing HIT. This study intends to identify factors affecting successful change management as part of preparation towards successfully implementing HIT in public hospital in Ghana. To carry out this study, we conducted in-depth interviews with a matrix of HIT senior managers and thematically analyzed the data. The data was transcribed and uploaded into a Nvivo 11 software for analysis using thematic analysis techniques. Five (5) themes were discovered. They are: 1) Stakeholder participation; 2) Proof of experience in similar project; 3) Availability of committed change agents/all-levels-change representatives; 4) Clearly articulated change implementation strategy; and 5) Training and improvement mechanism (post-implementation). A fresh call is made for more attention to be paid to change as part of preparatory measures towards the adoption of HIT in Ghana using the five cardinal approaches identified as a guide.",RAYYAN-LABELS: High Focus,10.1016/j.aci.2019.11.007,"",,
rayyan-1115027533,Towards logic models for the analysis and evaluation of the criticalities in chronic patients' care paths,2011,,,International Journal of Pharmaceutical and Healthcare Marketing,1750-6123,5,4,318-348,"Bonacci, Isabella and Tamburis, Oscar",https://doi.org/10.1108/17506121111190130,,Emerald Group Publishing Limited,,"Purpose The aim of the present paper is to examine how the introduction of information and communication technologies (ICTs) can have positive implications in a territorial context, where healthcare organizations are characterized by limited organizational independence and lack of individual statutory autonomy, with limited level of integration between the involved parties (healthcare operators, managers, and patients) and an uneven management of data and of information‐sharing. Design/methodology/approach The approach taken was an investigation based on a combination of quantitative and qualitative methods for information‐gathering and data‐analysis in the context of diabetes care. A case study approach was adopted with the aim of enhancing general practitioners' (GPs') performance levels through an evaluation monitoring and by controlling care paths dynamics. Findings The realization of the target care path for chronic–degenerative pathologies in the Local Health Trust “Naples 4” in Campania Region (Italy) led to the identification of a suitable framework that modifies, through the implementation of ICT tools, the communications dynamics and the interaction/integration for those actors involved in a patient's care path. Originality/value Healthcare markets are currently experiencing an acceleration of technological developments; the study tries to show how the appropriate adoption of new technologies can lead to improvements for the quality of care, managing at the same time the consequent rising costs in the sector.",RAYYAN-LABELS: Some Focus,10.1108/17506121111190130,"",,
rayyan-1115027534,An exploratory study of reverse exchange systems used for medical devices in the UK National Health Service (NHS),2016,,,Supply Chain Management: An International Journal,1359-8546,21,2,194-215,"Xie, Ying and Breen, Liz and Cherrett, Tom and Zheng, Dingchang and Allen, Colin James",https://doi.org/10.1108/SCM-07-2015-0278,,Emerald Group Publishing Limited,,"Purpose  – This study aims to provide insights into the scale and use of information and communication technology (ICT) in managing medical devices in the National Health Service (NHS), with a focus on reverse exchange (RE) systems as a part of the broader reverse logistics (RL) systems, within which medical devices are returned and exchanged.  Design/methodology/approach  – Two case studies were conducted with NHS Hospital Trusts, whilst another was built upon secondary resources. Primary findings were triangulated with the information collected from the NHS Trusts’ reports, direct observation and a preliminary round of consultations with 12 health-care professionals working in other NHS Trusts or Integrated Equipment Community Services.  Findings  – The findings of this paper suggest that the sophistication of ICT implementation increases with the risks and value associated with medical devices. Operational attributes are derived from ICT implementations which can positively affect RE performance. The forces that drive the adoption of ICT in the NHS include pressure from government, business partners and patients; competitive pressure; perceived benefits; organisation size; top management support; and the availability of sufficient resources. Obstacles are mainly centred around the lack of sufficient resources.  Research limitations/implications  – Although the trusts that participated in this research are representative of different regions, the generalisation of the study results may be limited by the size of the sample organisations, so the results can only provide insights into the research problem. As this work is exploratory in nature, there is insufficient data on which to form definitive recommendations.  Practical implications  – NHS Trusts may use the six operational attributes identified and verified by the case studies to benchmark their ICT implementation for device management. The actual and potential benefits of ICT implementation could inform technology development and encourage the uptake of ICT in healthcare. Governmental bodies can utilise this information to develop directives to actively drive ICT adoption in device management and the associated RE system. A well-considered training programme is needed to improve staff ICT skills to fully realise the potential of ICT systems which support the effective RE of medical devices.  Originality/value  – The results of this paper suggest that the reverse management of medical devices backs up the supply chain attained through using ICT, which in turn reduces capital costs, medical risk and increases the finance available for frontline medical treatment.",RAYYAN-LABELS: High Focus,10.1108/SCM-07-2015-0278,"",,
